Person Name,Beer,Food,
Leah Riley,Spring Heat Spiced Wheat,Seafood cocktail,
Jerome Simon,Gouden Carolus Ambrio 1471,Chicken and waffles,
Leila Hunt,Furious Beer,Chicken fried bacon,
Jean Andrews,Paddle Out Stout,Cajun cuisine,
Clifford McCormick,Grand Cru,Doughnut,
Ralph Cruz,Harvest Ale,Engastration (e.g.,
Rosalie Morris,Odell IPA,Mission burrito,
Minerva Goodwin,JÃ¶rger WeiÃŸe Hell,Muffuletta,
Charlotte Banks,Pleasanton Pale,Jerky,
Marie Obrien,Big Shot Seasonal Ale,Sour cream,
Stella Todd,Espresso Stout,Oysters Rockefeller,
Franklin Allison,Belgian Abbey,Drunken chicken,
Belle Sanchez,Big Shot Seasonal Ale,Engastration (e.g.,
Thomas Alvarado,Oatmeal Stout,Cuisine of Antebellum America,
Hettie Walters,Bigfoot 2001,Steak sauce,
Ricardo Powers,CuvÃ©e des Champions 2003-2004,Cordon bleu,
Mitchell Nichols,Honey Bunny Blonde Ale,Ammonia cookie,
Anthony Wallace,Calabaza Blanca,Sausage gravy,
Sean Dean,Wayan,Pumpkin pie,
Jean Padilla,Espresso Stout,Mozzarella sticks,
Carl Fox,Inversion IPA,Pork and beans,
Stella Tate,Imperial Stout,Chicken fingers,
Henrietta Wilkerson,Bourbon County Stout 2007,Fried fish,
Hallie Banks,Nut Cracker Ale,Chicken sandwich,
Gerald Allen,Cow Palace Scotch Ale 1998,Milk chocolate,
Leonard Floyd,Harvest Ale 2005 (Whisky),Sausage gravy,
Alta Allison,Twisted Thistle India Pale Ale,Ice cream cake,
Fannie Brewer,Silk Lady,Chips and dip,
Virginia Francis,Kent Lake Kolsch,Tuna casserole,
Martha Castillo,Pendle Witches Brew,Oysters Rockefeller,
Gordon Herrera,Oerbier,Italian-American cuisine,
Caleb George,Bovine Belgian Winter Ale,Chili con carne,
Joel Soto,Northern Light Lager,Stuffed peppers,
Nicholas Garrett,Ondineke Oilsjtersen Tripel,Corn dog,
Agnes Burgess,Jenlain Blonde,Corn dog,
Nathan Crawford,471 Extra ESB,Thousand Island dressing,
Cecelia Kelley,471 Extra ESB,Pulled pork,
Gordon Weaver,White Christmas,Lobster roll,
Mable Holland,Pale Ale,Steak sandwich,
Jim Cook,Kapuziner Schwarz-Weizen,Pasta salad,
Flora Frank,Summer Common,Pemmican,
Jay Black,Lunar Ale,Milk toast,
Bobby Sims,Bock,Patty,
Winnie Robbins,Kriek,Fried fish,
Rosalie Warner,Strange Ghost,Biscuit (and Biscuits and gravy),
John Sanchez,Eisenbahn South American Pale Ale (S.A.P.A.),Hangtown fry,
Cornelia Kelley,Rader AmbrÃ©e,Corn dog,
Derrick Young,Ringwood Brewery Old Thumper Extra Special Ale,Chicken fried steak,
Georgie Morgan,India Pale Ale,Corn flakes,
Marvin Romero,Hefeweizen,Sonofabitch stew,
Julia Hernandez,Shiner Hefeweizen,Liver and onions,
Lulu White,NÃ¸gne Ã˜ Brown Ale,Barbecue (see below for specific types),
Agnes Wolfe,GABF 25th Year Beer,Bear claw,
Lucinda Hunt,Troll Porter,Scampi,
Tyler Nguyen,Bitter,Deviled egg,
Caleb Townsend,CuvÃ©e des Champions 2003-2004,Carolina style,
Sophia James,La Roja,Russian dressing,
Raymond Stevenson,Ringwood Brewery Old Thumper Extra Special Ale,Fajita,
Annie Tate,Stout,Butter cookie,
Ada Bryant,Beer Town Brown,Buffalo wing,
Glenn Lewis,Seriously Bad Elf,Eggo,
Earl Marshall,Stout,Soul food,
Sam Lawrence,Undercover Investigation Shut-Down Ale,Celery Victor,
Corey Lyons,NÃ¸gne Ã˜ Porter,Cheese dog,
Ralph Cruz,Brother Thelonious,Smelt,
Beatrice Palmer,Certified Organic Amber Ale,Tetrazzini,
Christina Carlson,Ornery Amber Lager,Poppyseed muffin,
Chase Hogan,Harvest Brown,Stuffed ham,
Craig Hardy,Snow Bound Winter Ale,Pancakes,
Jeanette Gregory,Grand Cru,Deviled egg,
Sylvia Sanchez,Ur-Weisse,Italian beef,
Celia Roy,Old Bawdy 2006,Cornish game hen,
Lily Vaughn,Demolition,Meatcake,
Walter Arnold,Aventinus Weizenstarkbier / Doppel Weizen Bock,Pigs in blankets,
Jim Price,NÃ¸gne Ã˜ Brown Ale,White chocolate,
Alberta Roberts,Harvest Hefeweizen,Chicken sandwich,
Loretta Higgins,Bam BiÃ¨re,Burnt ends,
Bertha Hall,Never Summer Ale,Buffalo wing,
Chase Knight,Shining Star Pale Ale,Turducken,
Edward Hubbard,Silk Lady,Peanut butter,
Polly Matthews,Amber,Patty,
Rosetta Perez,Bitter,Cornish game hen,
Sara Neal,Petrus Gouden Tripel Ale,Chicken fried bacon,
Larry Tran,Blanche Double,Succotash,
Teresa Bishop,EOS Hefeweizen,Green bean casserole,
Cora Sherman,Leroy Barleywine,Steamed clams,
Joseph Allen,Quelque Chose,Popover,
Carolyn Williamson,Eisenbahn Dourada,Baked potato,
Marvin Warner,Modern Monks Belgian Blonde,Juba,
Terry Fletcher,Planet Porter / Boulder Porter,Lobster roll,
Lenora Brady,Harvest Ale 2007,Doughnut,
Landon Hall,Winter Ale, Turducken),
Dominic Joseph,Oatmeal Stout,Choco pie,
Carrie Snyder,Old Stock Ale 2007,London broil,
Delia Garner,Oktoberfest Weizen,Corn relish,
Alice West,Bourbon Imperial Stout,Eggs Benedict,
Clarence Collier,16,Succotash,
Marion Chandler,Petrus Gouden Tripel Ale,Italian dressing,
Minnie Floyd,471 Extra ESB,Macaroni and cheese,
Victor Mann,Eisenbahn Defumada,Hot chicken,
Francis Chandler,Pole Star Pilsner,Ammonia cookie,
Oscar Nash,Winter Warmer,Meatcake,
Kyle Cohen,Easy Street Wheat,Steamed clams,
Shawn Adams,Twisted Thistle India Pale Ale,Jell-O,
Marian Russell,Fairfax Coffee Porter,Chicken à la King,
Dora Garcia,Porter,Corn relish,
Louis Patrick,Dark Beer / StiftsbrÃ¤u,Chips and dip,
Samuel Bell,Blanche de Namur,Beef Manhattan,
Erik Thompson,Avalanche Amber,Fry sauce,
Edgar Rodgers,Honey Bunny Blonde Ale,Hot chicken,
Mable Page,La Folie,Chicken fried bacon,
Dean McKinney,Pillar Point Pale Ale,Milkshake,
Georgia Haynes,Whitetail Wheat,Popcorn,
Louis Hamilton,Harvest Ale 2005 (Whisky),Maple bacon donut,
Rose Lawson,Hot Shot ESB,Garden salad,
Isabella Patton,Dark Beer / StiftsbrÃ¤u,Tetrazzini,
Ivan Watkins,Bitter,American Chinese cuisine,
Craig Roberts,Rader AmbrÃ©e,Crab cake,
Lawrence Harper,Isolation Ale,Chicken fried bacon,
Philip Freeman,Old Godfather,Fried chicken,
Leonard Rodriquez,Pitchfork Rebellious Bitter,Cowboy beans,
Christine Ross,Old Princeton Landing IPA,Mission burrito,
Marie Pierce,Ultrablonde,Peanut butter,
Lettie Rogers,Dark Ale,Corned beef,
Seth Todd,Kristall Weizen,Crab cake,
Celia Holmes,Yeti Special Export,Russian dressing,
Katie Garza,Sawtooth Ale,Popover,
Olga Ramsey,Old Engine Oil,Steak sauce,
Mayme Massey,Hitachino Nest Real Ginger Brew,Dark chocolate,
Curtis Simpson,Hefeweizen,Maple bacon donut,
Anthony Cole,Schwarzbier,Chicken sandwich,
Alice Banks,Carnegie Stark-Porter,Bear claw,
Melvin Carter,Espresso Porter,Crab cake,
Bettie Sherman,Pale Ale,Mission burrito,
Ricky Floyd,IPA,Grits,
Eleanor Stephens,Oro de Calabaza,Home fries,
Justin Gonzales,Hefeweizen,Pigs in blankets,
Ora Chapman,English Ale,Carolina style,
Claudia Quinn,Gavroche French Red Ale,Maraca pie,
Frederick Richards,Classic Gueuze,French dip,
Harold Chavez,Oatmeal Stout,Sloppy joe,
Claudia Bowman,Long Leg English Fuggles Hop Ale,Chicken French,
Randy Woods,Certified Organic Amber Ale,Chimichanga,
Russell Chandler,Train Wreck IPA,Pancakes,
Alberta Torres,Imperial Stout,Scampi,
Maria Patrick,2010-07-22 20:00:20 UTC,Popcorn,
Caroline Gibson,La Folie,Engastration (e.g.,
Ricky Allison,Kilt Lifter Scottish Ale,Ice cream cake,
Lloyd Roy,Classic Gueuze,Mulligan stew,
Steve Coleman,Bigfoot 2003,Corned beef,
Polly Matthews,Winter Cheer,Juba,
Timothy McGee,Oatmeal Stout,Buffalo burger,
May Mullins,Blue Dot Double India Pale Ale,Toaster Strudel,
Harold Barnett,Ambree,Chicken nugget,
Maria Patrick,Ambree,Mission burrito,
Harold Barnes,Dark Beer / StiftsbrÃ¤u,Sandwich,
Ann Ramsey,Pauwel Kwak,Energy bar,
Cornelia Doyle,Brewhouse Blonde,Mozzarella sticks,
Joshua Baldwin,Paddle Out Stout,Hot chicken sandwich,
Marie Newman,Porter,French dip,
Jared Walton,Porter,Pizza strips,
Linnie Salazar,Rader AmbrÃ©e,Coleslaw,
Ina Pierce,La Folie,Goulash,
Leon Baldwin,Double Pilsner,Chicken parmigiana,
Fanny Armstrong,Nut Cracker Ale,Mashed potato,
Jim Graves,Oro de Calabaza,Energy bar,
Nathaniel Allen,Brother Thelonious,Chicago-style pizza,
Lou Hansen,Nitro Porter,Deviled crab,
Phoebe Marsh,Hefeweizen,Brunswick stew,
Lizzie Gibson,Lia Fail Stone of Destiny Ale,Fried chicken,
Polly Matthews,Full Moon Winter Ale,Italian beef,
Rebecca Parsons,Big Shot Seasonal Ale,Scrapple,
Violet Sharp,Rader AmbrÃ©e,French dip,
Lora Haynes,Danger Ale,Chicken à la King,
Francisco Barrett,Triple,Chicken Divan,
Elnora Stephens,Warka Strong,Meatcake,
Leroy Phillips,Kapuziner Schwarz-Weizen,Corn relish,
Maurice Freeman,Warm Welcome Nut Browned Ale,Stuffed zucchini,
Alma Tate,Pale Ale,Pepperoni,
Anne Garrett,Boys of Summer Wheat,Eggo,
Evelyn Banks,Amber,German chocolate cake,
Carlos Cox,Bigfoot 2002,Ploye,
Susan Rhodes,Denver Pale Ale / DPA,Meatloaf,
Kenneth Chambers,Iron Fist Pale Ale,Biscuit (and Biscuits and gravy),
Caleb Hawkins,Prior 8,Eggs Benedict,
Benjamin Glover,Oak Aged IPA,White chocolate,
Allie Gross,Ur-Weisse,Calf's liver and bacon,
Lucas Ramsey,Certified Organic India Pale Ale,Sour cream,
Sue Hernandez,Bourbon County Stout 2007,Haystack,
Josephine Cross,Oktoberfest Weizen,Scrapple,
Robert Davidson,Mocny BOSS / BOSS Beer,Stuffed peppers,
Gerald McGee,Hefe Proper Ale,Pastrami,
Julia McKenzie,Zoetzuur Flemish Ale,Cowboy beans,
Jennie Cunningham,Levity Amber Ale,Apple butter,
Justin Harrison,P.M. Porter,Squab,
Ralph Fields,Hefeweizen,Liver and onions,
Herbert Foster,Duke IPA,Ice cream cake,
Cory Young,Ironwood Dark,American Chinese cuisine,
Noah McDonald,Slaapmutske Triple Nightcap,Eggs Benedict,
Jean Walton,Belgian Abbey,Cheese fries,
Darrell Drake,Eisenbahn Dourada,Russian dressing,
Carolyn Buchanan,Brunette Nut Brown Ale,Chili dog,
Julian May,Bam BiÃ¨re,Sausage gravy,
Linnie Riley,Urthel Vlaemse Bock,Clam cake,
Robert Fleming,GABF 25th Year Beer,Italian beef,
Gene Williamson,Oak-Aged Belgian Tripel,Blue-plate special,
Lizzie Garcia,Cow Palace Scotch Ale 1998,Ranch dressing,
Marion Joseph,Robert the Bruce Scottish Ale,Sloppy joe,
Mark Gray,Sharptail Pale Ale,Meatloaf,
Bernard Carter,Espresso Porter,Corn dog,
Rosetta Harris,New Belgium Trippel Belgian Style Ale,Vichyssoise,
Rhoda Taylor,Christmas Bock,Garden salad,
Eddie Weaver,Warm Welcome Nut Browned Ale,Sonofabitch stew,
Francis Long,NÃ¸gne Ã˜ Pale Ale,Lorna Doone,
Annie Lambert,Quelque Chose,Chicken fingers,
Minerva Curtis,Creamy Dark,Eggs Neptune,
Ethel Mason,Saison Vielle Provision,Sonofabitch stew,
Alberta Ford,Grotten Flemish Ale,Grits,
Dale Snyder,ESB (Extra Special Blizzard),Bread,
Lewis Roy,The Unforgiven Amber Ale,Potato salad,
Dale Snyder,American Pale Ale,Crab cake,
Anthony Gardner,New Belgium Trippel Belgian Style Ale,Chicken fried steak,
Marie Cannon,Nightmare,Italian beef,
Eric Edwards,Bos Keun,Chicken sandwich,
Andrew Hogan,Extra Strong Vintage Ale,Haystack,
Polly Robinson,Twelve Days,Fajita,
Gabriel Stone,Old Foghorn 2006,German chocolate cake,
Jordan Morrison,Kriek,Lobster roll,
Keith Bryan,Ambree,Toaster Strudel,
Corey Lynch,Special London Ale,Eggs Neptune,
Harold Clayton,Beer Geek Breakfast,Buffalo wing,
Charlotte Newton,Maple Nut Brown Ale Ale,Brunswick stew,
Francisco Ortega,Falcon Pale Ale,Pickled cucumber,
Josephine Owen,Stouterik / The Brussels Stout,Ranch dressing,
Bertha Ross,Warm Welcome Nut Browned Ale,Milk toast,
Cecilia Foster,Blue Dot Double India Pale Ale,German chocolate cake,
Mina Harris,Gouden Carolus Tripel,Mashed potato,
Leroy Abbott,Sandy Beach Blonde Hefeweizen,Domesticated turkey,
Donald Maldonado,Nutty Brewnette,Poppyseed muffin,
Brandon Miller,Aecht Schlenkerla Rauchbier MÃ¤rzen,Coleslaw,
Beulah Patton,Bigfoot 2002,Ammonia cookie,
Amy Harvey,Porter,Stuffed zucchini,
Leonard Parker,Falcon Pale Ale,Pasta salad,
Landon Waters,Odell Red Ale,Rolled oyster,
Lucy Long,Farm House Ale,French dip,
Warren Powell,Paddle Out Stout,Steak sauce,
Harry Myers,Blue Dot Double India Pale Ale,Chicken nugget,
Jayden Matthews,Dark German Lager,Bread,
Randall Boone,Dubbel,Sour cream,
Myra Barnes,Premium XB Bluebird Bitter,Steamed clams,
Edgar Olson,Old Foghorn 2006,Scrapple,
Agnes Henderson,Pilsner,Milk toast,
Edwin Coleman,La Folie,Tuna casserole,
Janie Stevenson,Blarney Stone Stout,Poppyseed muffin,
Jeffery Perez,Irish Style Ale,Engastration (e.g.,
Eleanor Chandler,Winter Ale,Chicken and waffles,
Sally Walters,White Christmas,Pork and beans,
Lucy Miller,India Pale Ale (IPA),Cowboy beans,
Shane Jacobs,Old Growler,Chicken fingers,
Lizzie Jimenez,Double IPA,Rabbit pie,
Madge Houston,16,Pork and beans,
Wesley Atkins,Petrus Oud Bruin,Chili dog,
Leah Riley,Certified Organic India Pale Ale,Chicken à la King,
Flora Green,Pelican Pale,Cuisine of the Thirteen Colonies,
Edwin Robinson,Stillwater Rye,Hot chicken,
Lura Woods,Spring Heat Spiced Wheat,French dip,
Rosetta Sandoval,Eisenbahn Escura,Butter cookie,
Grace Moody,EKU 28,Poppyseed muffin,
Josephine Campbell,Shining Star Pale Ale,Rabbit pie,
Carolyn Fuller,Organic Barley Wine Ale 2005,Sloppy joe,
Nora Wade,Blonde,Stuffed zucchini,
Jeanette Arnold,Old Growler,Carolina style,
Gordon Cunningham,Canaster Winter Scotch,Deviled egg,
Vera Bell,English Ale,Chicken fingers,
Lucas Day,India Pale Ale,Potatoes O'Brien,
Elizabeth Marsh,Brout,Buffalo wing,
Danny Bush,Hot Shot ESB, Turducken),
Eddie Jefferson,Red Sled Winter Ale,Soul food,
Tommy Drake,Double India Pale Ale,Creamed eggs on toast,
Alejandro Marshall,NÃ¸gne Ã˜ Imperial Stout,Senate bean soup,
Sam Sims,Toleration,Potato wedges,
Edward Hubbard,India Pale Ale,Rolled oyster,
Mathilda Waters,Grand Cru,Senate bean soup,
Bettie Haynes,Ur-Weisse,Hot chicken sandwich,
Ryan Copeland,Triple,Pickled cucumber,
Lulu Palmer,Slaapmutske Triple Nightcap,Ice cream cake,
Dylan Bush,Golden Ale,Pop-Tarts,
Philip Fox,Grand Cru,Italian-American cuisine,
Bertha Jefferson,Old Growler,Pork and beans,
Katie Jennings,Ondineke Oilsjtersen Tripel,Grits,
Devin Vaughn,Pilsner,Fortune cookie,
Blake Ramsey,Fourteen,Cordon bleu,
Walter Stone,Odell IPA,Italian beef,
Cecelia Baldwin,Bigfoot 2005,Chicken Divan,
Cordelia Hubbard,Duke IPA,Thousand Island dressing,
Lloyd Griffin,Jenlain Blonde,Sloppy joe,
Charlotte Williamson,Pale Ale,Swiss steak,
Cecilia Moss,Old Growler,Corn flakes,
Helena Robinson,Hefe Proper Ale,Senate bean soup,
Isaiah Fitzgerald,Okocim Porter,Burnt ends,
Lizzie Hoffman,Geist Bock,Bear claw,
Lucile Ortiz,Red Ale,Jerky,
Christine Reyes,Abt 12,City chicken,
Tony Moss,Premium Pils Edelherb, Turducken),
Isaac Santiago,Avalanche Amber,Calf's liver and bacon,
Ronald Perez,Smoked Hefe,Chicken nugget,
Logan Jimenez,Witbier,Chili con carne,
Rosa Wilkins,Rauchbier Lager,Tetrazzini,
Benjamin Coleman,Steelie Brown Ale,Carolina style,
Virginia Ingram,Bigfoot 2001,Apple butter,
Dean Maldonado,IPA,Pemmican,
Craig Flowers,XTra,Steak sandwich,
Vera Mason,Bourbon Imperial Stout,Swiss steak,
Hulda Bowman,Grand Cru,Peanut butter,
Gene Williamson,Harvest Ale 2005 (Whisky),Chowder,
Mina Harris,Sawtooth Ale,Drunken chicken,
Daisy Brady,Belgian Abbey,Chicken fingers,
Philip Freeman,Sharptail Pale Ale,Eggo,
Bettie Lamb,Wiesen Edel Weisse,Mashed potato,
Gavin Gonzalez,Jack of Spades Schwarzbier,French dip,
Vincent Hodges,IPA,Fortune cookie,
Myrtie Rice,Blonde,Succotash,
Jane Cain,Jan de Lichte,Barbecue (see below for specific types),
Matilda Conner,PÃ¨re NoÃ«l,Corn flakes,
Dustin Wagner,Gueuze-Lambic,Bear claw,
Adeline Cook,Imperial Stout,Corn relish,
Jerome James,Hefe Weizen,Cordon bleu,
Brandon Hunter,Aecht Schlenkerla Rauchbier Weizen,Chicken fried steak,
Stanley Barton,Hop Trip Fresh Hop Pale Ale,Apple sauce,
Jordan Atkins,Bond Street 19th Anniversary,Soul food,
Fannie Watkins,Schwarzbier,Calf's liver and bacon,
Dylan Ball,Iron Fist Pale Ale,Corned beef,
Christina Mack,Pendle Witches Brew,Eggs Benedict,
Cory Bowen,Smoked Hefe,Garden salad,
Birdie Torres,Aventinus Weizen-Eisbock,Italian beef,
Bryan Gill,Bigfoot 2001,Creamed corn,
Austin Ramsey,Bourbon Barrel Porter,Potato wedges,
Lida Boyd,NÃ¸gne Ã˜ Imperial Stout,Potatoes O'Brien,
Clayton Coleman,Amber Light,Clam cake,
Nora Arnold,Red Ale,Swiss steak,
Nell Benson,Blue Paddle Pilsener,Chicken nugget,
Mabel Owens,Whitetail Wheat,Slinger,
Leonard Marsh,Classic Gueuze,Popover,
Julian Welch,Kerst Pater Special Christmas Beer,Chips and dip,
Jennie Howard,Harvest Ale 2005 (Calvados),Creamed corn,
Birdie Torres,Blarney Stone Stout,Pizza strips,
Bernard Olson,God Jul - Winter Ale,Pork and beans,
Abbie Hill,Bock,German chocolate cake,
Ricky Floyd,Pleasanton Pale,Smelt,
Harriet Bates,Espresso Porter,Chicken Divan,
Estella Harvey,Blur IPA,Baked potato,
Hilda Jordan,Morocco Ale,Smelt,
Martin Greer,Casey Jones Imperial IPA,Doughnut,
Gertrude Alexander,La BiÃ¨re des Collines van de Saisis,Chicken and waffles,
Rebecca Tyler,Old Foghorn 2001,Celery Victor,
Nelle Goodman,Lunar Ale,Chicken parmigiana,
Mina Sharp,Pils,Oysters Rockefeller,
Minnie Hawkins,Hennepin Farmhouse Ale,Russian dressing,
Eva Baldwin,Summer Bright Ale,Engastration (e.g.,
Irene Watkins,Cascade Amber,Ranch dressing,
Noah Bradley,LuciÃ©rnaga,Hamburger,
Kenneth Gross,Train Wreck IPA,Milk chocolate,
Teresa Murphy,Buzzsaw Brown,Hamburger,
Esther Perkins,India Pale Ale,Home fries,
Gene Rice,Odell IPA,Energy bar,
James Dawson,NÃ¸gne Ã˜ Pale Ale,Apple butter,
Melvin Carter,Witkap-Pater Tripel,Lobster Newberg,
Mabel Ferguson,Amber Light,Chicken fried steak,
Phoebe Burke,Glacier Ale,City chicken,
Estelle Stephens,Pater 6,Coleslaw,
Cornelia McCarthy,Old Princeton Landing IPA,Chocolate chip cookies,
Clayton Rice,Snow Bound Winter Ale,Liver and onions,
Clayton Maldonado,Maracaibo Especial,Butter cookie,
Theresa Ford,Cerveza Roja,Pop-Tarts,
Nelle Roy,Bigfoot 2003,Milk toast,
Jack Castillo,Abt 12,Domesticated turkey,
Joe Gross,Eisenbahn Defumada,Steamed clams,
Brent Scott,Framboise,Cowboy beans,
Louis Hodges,Northern Light Lager,Clam chowder,
Floyd Adkins,La Divine Tripel Amber,Stuffed ham,
Lucille Stevenson,Oatmeal Stout,Pork and beans,
Lettie Smith,Schlenkerla Helles Lagerbier,Burnt ends,
Alejandro Hodges,Serafijn Christmas Angel,Cowboy beans,
Landon Rhodes,Grand Cru,Onion ring,
Dylan Edwards,Brewhouse Blonde,Mulligan stew,
Anne Burns,Schwarzbier / Dunkel,Butter cookie,
Josie Carson,Epiphany Ale,Popcorn,
Phillip Johnston,Kerst Pater Special Christmas Beer,Onion ring,
Alex Atkins,Woody Organic IPA,Thanksgiving turkey,
Alma Wheeler,Certified Organic India Pale Ale,Succotash,
Jordan Pena,Harvest Ale 2005 (Whisky),Fried chicken,
Matthew Horton,Grand Cru,Hot chicken,
Ronald Willis,Warka Strong,Hog fry,
Angel Stewart,Imperial Stout,Senate bean soup,
Nina Garza,Irish Dry Stout,Potato wedges,
Frederick Diaz,Oatmeal Stout,Sausage gravy,
Sam Webster,Bourbon Barrel Porter,Breakfast burrito,
John Obrien,New,Pasta salad,
Cynthia Schultz,Samurai,Pepperoni,
Tommy Erickson,Rader Blonde,Chowder,
Marcus Adams,EOS Hefeweizen,Thousand Island dressing,
Daniel Myers,Winter Ale,Buffalo wing,
Rosa Cruz,Amber Light,Goulash,
Mable Russell,Hop Trip Fresh Hop Pale Ale,Hamburger,
Don Sanchez,Barleywine,Butter cookie,
Rosalie Warner,Weizengold Hefefein,Russian dressing,
Jason Walker,Bitter,Meatloaf,
Alan Cain,Harvest Ale 2005 (Port),Sandwich,
Myra Barnes,Oak Aged Ebenezer,Mission burrito,
Lena Flowers,Snow Bound Winter Ale,Blue-plate special,
John Boyd,Twelve Days,Brunswick stew,
Sue Richards,Organic Gingerbread Ale,Popover,
Stella Anderson,Triple,Buffalo wing,
Edgar Wallace,ESB,Eggo,
Alejandro Hodges,Okocim Porter,Jell-O,
Gene Simpson,Blanche Double, Turducken),
Marcus Weaver,Oatmeal Stout,Mulligan stew,
Virginia Pratt,Danger Ale,Mission burrito,
Agnes Wolfe,GABF 25th Year Beer,Surf and turf,
Edward Kelley,BiÃ¨re Darbyste,Barbecue (see below for specific types),
Raymond Bass,Wildcat Wheat,Stuffed ham,
Gilbert Hodges,JuJu Ginger,Chicken fingers,
Eleanor Ramos,MÃ¶nchshof KellerbrÃ¤u,Toaster Strudel,
Randy Jensen,Saison Imperiale,Reuben sandwich,
Minerva Maldonado,Serafijn Christmas Angel,Rabbit pie,
Rhoda Harmon,Czech Lager,Mashed pumpkin,
Annie Munoz,Strange Ghost,Chicken French,
Andre Barrett,Petrus Speciale,Mashed potato,
Cornelia Hansen,Harvest Ale,Slinger,
Iva Rogers,Creamy Dark,Eggs Benedict,
Carolyn Williamson,Modern Monks Belgian Blonde,Greek-American cuisine,
Gabriel Davidson,Festive Ale 2007,Chicken fingers,
Sam Murray,India Pale Ale,Mashed potato,
Estelle Greer,Smoked Hefe,Biscuit (and Biscuits and gravy),
Belle Grant,Arabier,Energy bar,
Nettie Park,Petrus Speciale,Dark chocolate,
Ralph Potter,Bourbon Imperial Stout,Clam chowder,
Howard Ford,Black Jack Porter,Lobster Newberg,
Ellen Gray,New Belgium Trippel Belgian Style Ale,Smelt,
Roger Carroll,Trout Slayer,Bookbinder soup,
Roger Brown,Moose Drool Brown Ale,Italian beef,
Jason Hall,Farm House Ale,Peanut butter,
Francisco Hart,La Folie,Surf and turf,
Roxie Morris,Falcon Pale Ale,Pulled pork,
Alvin King,Pilsner,Potato skins,
Harold Chavez,Gouden Carolus Tripel,Brunswick stew,
Elnora Lopez,Festive Ale 2007,Cowboy beans,
Lucille Malone,XTra,Bull roast,
Ryan Olson,Schwarzbier / Dunkel,Clam chowder,
Ryan Scott,Bavarian Bock,Chicken fried steak,
Flora Baldwin,Fat Belly Amber,Cordon bleu,
Bill Watson,Sharptail Pale Ale,Chili con carne,
Sally Martinez,Geist Bock,Sandwich,
Esther Morton,Cerveza Roja,Pork and beans,
Ronald Perez,Falcon Pale Ale,Turducken,
Dollie Quinn,The Unforgiven Amber Ale,Ribs,
Myra Hogan,Bully! Porter,Salisbury steak,
Mathilda Saunders,Cold Hop,Thousand Island dressing,
Cody Spencer,God Jul - Winter Ale,Pigs in blankets,
Cameron Sharp,Ur-Weisse,Domesticated turkey,
Ivan Morgan,Hell,Slinger,
Stanley Buchanan,Hefe Weizen,Scrapple,
Joshua Holloway,Furious Beer,Frybread,
Dorothy Dean,Christmas Ale 2007,Fajita,
Jennie Figueroa,Toleration,Milkshake,
Jesus Daniel,Bent Nail IPA,Cajun cuisine,
Dustin Barnes,Session Premium Lager,Chimichanga,
Delia Gross,Undercover Investigation Shut-Down Ale,Surf and turf,
Flora Perry,Petrus Oud Bruin,Squab,
Travis Tyler,Old Engine Oil,Carolina style,
Troy Turner,Double India Pale Ale,Fortune cookie,
Hester Burns,Oak-Aged Belgian Tripel,German chocolate cake,
Ora Hale,Calabaza Blanca,Buffalo wing,
Myrtie Powers,Hitachino Nest Espresso Stout,Hot chicken sandwich,
Zachary Daniel,Old Engine Oil,Pemmican,
Adele Boyd,Arabier,Chicken parmigiana,
Sarah Newman,Jenlain Blonde,Italian beef,
Trevor Hunter,Brew Ribbon,Cowboy beans,
Roger Miller,Widdershins Barleywine,Cuisine of Antebellum America,
Hallie Bass,NÃ¸gne Ã˜ Pale Ale,Oysters Rockefeller,
Manuel Warner,Inversion IPA,German chocolate cake,
Charlie Wade,Bender Beer,Protein bar,
Bradley Lawson,Vertical Epic 07.07.07,Clam cake,
Alexander Bell,Oak Aged IPA,Cowboy beans,
Christine Poole,Ename Tripel,Baked potato,
Ernest Vasquez,Casey Jones Imperial IPA,City chicken,
Myra Hogan,Tikka Gold,Senate bean soup,
Isaiah Tate,Eisbock,Hamburger,
Sylvia Wells,Porter,Corned beef,
